title|description
risk weighted assets|The estimated value of assets of a bank adjusted for risk. This is calculated as the weighted sum of all assets on the balance sheet of the bank, with the weights for each underlying asset corresponding to its risk. The weights are determined according to the approach developed by the Basel Committee of the *Bank for International Settlements.
robustness of policies|The property of economic policies that their merits are relatively insensitive to the exact specification of the underlying model of the economy.
roll-over of loans|Allowing borrowers to renew loans when they fall due for repayment, rather than actually paying them off. This is common in two situations. In many cases the loans have been used to finance profitable transactions, such as buying goods for resale: the borrower could repay the loan, but has good prospects of profit from similar further transactions if the loan is renewed. In other cases the borrower cannot repay the loan, and the lender has the choice of rolling over the loan or writing it off as a bad debt, with adverse effects on their own accounts. In such situations there is a strong temptation to roll over the loan, especially if there is some prospect that the borrower will eventually be able to repay it.
root mean squared error|(RMSE) The positive value of the square root of the *mean squared error.
rounding error|The error introduced by rounding numbers in the intermediate steps of calculation, with the final result being different from what would have obtained using the exact values.
Royal Economic Society|An economic association formed in the UK in 1890. The Royal Economic Society has over 3 000 members, with 60 per cent living outside the UK. It promotes the study of economic science in academic life, government service, banking, industry, and public affairs.
royalties|Payments to the owners of *natural resources such as minerals or oil, made by mine operators. Royalties are so called because the owner is frequently a sovereign, or a state. Royalties are governed by agreements, which may specify them in amounts per unit extracted, or as a percentage of revenue. The term is also used for payments by publishers to authors, and by recording companies to composers.
RPIX|A retail price index excluding mortgage interest payments. This is contrasted with the UK’s *retail price index (RPI) which includes mortgage interest. In many other countries the commonly used retail price index is calculated excluding mortgage interest, so is already an RPIX. The main argument for using an RPIX is that under the UK system, if rising prices provoke a rise in interest rates to suppress demand, the *impact effect is an increase in the measured rate of inflation. The main argument for including mortgage interest in the RPI is that people with mortgages do in fact have to pay it, and it absorbs a substantial proportion of personal incomes.
R-squared|See coefficient of determination.
rules-based policy|A policy regime formulated as a set of certain rules that are not supposed to change over time or in response to a change in the economic environment. An example of a rule-based monetary policy is mandating constant growth of the money supply. See also discretionary policy.
rules of origin|Rules applied in *free-trade areas to determine whether goods qualify for duty-free admission. Usually such rules specify a minimum percentage of inputs which have to come from member countries.
rules of the game|A historical name for the rules under which the *gold standard was supposed to operate. Under the ‘rules of the game’, countries losing gold were supposed to raise their interest rates and cut their money supply; countries gaining gold were supposed to cut interest rates and increase their money supply. These rules were intended to restore equilibrium in the balance of payments fairly quickly. However, the incentive to obey these rules was much greater for the countries losing gold, who were in danger of running out of *foreign exchange reserves, than for the countries gaining gold. The countries gaining gold could afford to insulate their domestic economies from its inflationary effects by sterilizing the increase in their exchange reserves, and often did so; the countries losing reserves could not afford to sterilize the effects for long. This imparted a deflationary bias to the gold standard system as a whole. See also sterilization.
running yield|The income on a portfolio as a percentage of the current market value of the portfolio. For example, if a portfolio yields £800 per annum income and its value is currently £8 000 the running yield is 800/8 000 = 10 per cent.
rust belt|The area of the US stretching from Pittsburgh to St Louis, containing a large concentration of traditional, but declining, heavy industries. The rustbelt suffers from high *obsolescence and relatively strong unionization of the labour force, both of which have encouraged a tendency for economic activity to shift to the South and the West. Parts of the rust belt have suffered severe population loss and urban decay. Detroit, for example, suffered a decline of 62 per cent in its population between its peak in 1950 and 2012.
Rybczynski theorem|A proposition concerning the results of increasing only one factor of production. The proposition, named after its originator, concerns a two-good, two-factor economy with *constant returns to scale, and economic growth due to an increase in one factor of production, holding other factors and techniques constant. This leads at constant *relative prices to an increase in the output of the good intensive in the factor which has increased, but a decrease in the output of the industry using the factor which has not. This result at first sight seems surprising: the argument behind it is that with constant prices the techniques used in each industry must stay the same. To employ the extra supply of the growing factor, output rises in the industry using it intensively; but this also uses some of the other factor, so that less is left for the second industry, whose output therefore declines. See also factor intensity.
sacking|Dismissal of labour by an employer. This may be ‘for cause’, where some form of misconduct by the employee is given as the reason; in some cases employees may have rights to compensation for *unfair dismissal if this cannot be substantiated. Dismissal may also be due to *redundancy, when the work an employee was hired to perform is no longer required, and the employer has no other suitable job available. In such cases no misconduct on the worker’s part is alleged, and such redundant workers may be entitled to compensation. Sacking is distinguished from voluntary quitting of employment, where it is the employee who takes the initiative.
sacrifice ratio|In *Keynesian economics, the ratio between the amount of unemployment needed to reduce inflation and the reduction achieved. According to *demand inflation models, an increase in demand when activity is high has more effect in increasing inflation than an equal fall in demand has in decreasing inflation when activity is low. This implies that the sacrifice ratio for any economy will be lower if disinflationary pressure is applied steadily than if the economy varies between spells of expansionary policy and occasional bursts of severe cuts in *effective demand. The sacrifice ratio is likely to be lower if the authorities’ commitment to reducing inflation is regarded as credible.
saddle point|A point at which a function of several variables is at a maximum for movement in some directions and a minimum for movement in the remaining directions. Assume f(x) is to be maximized subject to g(x) ≥ 0, where x = (x1,…, xn). Then the maximum occurs at a saddle point of the Lagrangian function L ≡ f(x) + λg(x), with L maximized for each xi and minimized for λ.
safety at work|See Health and Safety at Work Act.
St Petersburg paradox|The observation that experimental subjects will only offer to pay a small fee to enter a coin-tossing game with an expected pay-off that is infinite. Consider being offered the chance to play in a game in which a fair coin is repeatedly tossed until a tail appears. If the first tail appears on the tth toss the pay-off is 2t−1. The expected pay-off from entering the game is
salary|Fixed compensation for the supply of labour services paid on a regular basis. Salaries are typically quoted on an annual basis and paid monthly or semi-monthly, in the same amount per pay period. Employees on salaries do not receive overtime payments for working more than the contractual number of hours, although exceptions may be in place for employees on low salaries. See also wage(s).
sales tax|A tax on the sales of a business. A sales tax is normally a fixed percentage of total sales of some classes of goods and services. Sales taxes are used to raise revenue, for example, by some states of the US. While in principle a *value-added tax is better for economic efficiency, a sales tax is simpler to administer when much of the business being taxed is done by firms whose business spreads over several states.
sample|A selection of examples of a class of objects, whose characteristics are used to infer those of the whole class or population. Sampling is used where it would be impossible, too slow, or too costly to examine the entire population. Inference from sample to population constitutes the subject matter of statistics. See also quota sample; random sample; stratified sample.
sample selectivity bias|A problem that occurs when the available data sample is truncated according to the value of some variable correlated with the dependent variable. For example, pupils in private schools are likely to come from wealthy families. Suppose post-school earnings are used as a measure of quality of a given school. If people with wealthy family backgrounds tend to have higher earnings for reasons other than their schooling, then ignoring this selection leads to the confounding of the effect of family background with the effect of training received at a particular private school. In such cases the *ordinary least squares estimator is biased and inconsistent. See also truncated sample.
sampling distribution|See finite sample distribution.
Samuelson rule|An equation describing the set of *Pareto-efficient allocations in an economy with *public goods. In an economy with one public good, one private good, and H consumers, the Samuelson rule requires that
SARP|Strong Axiom of Revealed Preference. See warp.
satisficing|A decision-making strategy that aims at reaching an adequate outcome rather than an optimal outcome. Examples of satisficing are charging a fixed mark-up over costs, and purchasing the same bundle of commodities each week. Satisficing is often justified on the grounds that optimizing involves costly information collection and processing. As an economic theory it fails to explain why optimization is not undertaken incorporating these additional costs.
saving(s)|Saving is a flow and refers to the excess of *income over *consumption in a given period. Savings are a stock and refer to the quantity of *assets held. The stock of savings is accumulated from the flow of saving over a number of periods. The average propensity to save is the ratio of saving to income; the marginal propensity to save is the proportion of any addition to income that is saved. The interest-elasticity of saving measures the proportional response of saving to changes in interest rates. See also contractual savings; planned savings; propensity to save.
saving ratio|Household *saving expressed as a proportion of household gross *disposable income.
savings and loan association|(S&L) A US institution borrowing from the general public to provide housing finance. S&Ls are the nearest US equivalent to the UK’s *building societies. During recent years S&Ls have encountered major financial problems through financing fixed-interest mortgages with short-term deposits, whose cost responds rapidly to changes in market interest rates.
savings function|A function relating saving to its determinants. For an individual these include income (both current and permanent), age, family status, assets, and possibly *liquidity. At the aggregate level the savings function includes the effects of income, the age distribution of the population, and total assets.
Say’s law|Typically summarized as the proposition that ‘supply creates its own demand’. The argument behind Say’s law is that the supplier of a product will spend the income received, thus the supply creates a demand. In the words of Jean-Baptiste Say (1767–1832), ‘It is worthwhile to remark that a product is no sooner created than it, from that instant, affords a market for other products to the full extent of its own value. When the producer has put the finishing hand to his product, he is most anxious to sell it immediately, lest its value should diminish in his hands. Nor is he less anxious to dispose of the money he may get for it; for the value of money is also perishable. But the only way of getting rid of money is in the purchase of some product or other. Thus the mere circumstance of creation of one product immediately opens a vent for other products’ (J. B. Say, 1803, A Treatise on Political Economy, or the Production, Distribution and Consumption of Wealth, pp. 138–9).
scarce currency clause|A provision in the original rules of the *International Monetary Fund (IMF), to deal with the problem that its stocks of any one particular currency might run out. The clause provided that if the IMF ran out of stocks of a country’s currency, this could be declared a ‘scarce currency’, upon which members would be entitled and expected to discriminate against the country’s goods in their trade policies. It was widely expected during the late 1940s that the US dollar would become scarce, though due to the *Marshall Plan and other US bilateral aid programmes this did not in fact occur. See also discrimination.
scarcity|The property of being in excess demand at a zero price. This means that in equilibrium the price of a scarce good or factor must be positive.
scatter diagram|A diagram depicting the relation between two characteristics of a set of observations. Each point marked on the diagram shows an observation of the two characteristics, for example age and the income of an individual, measured on the two axes. This is often helpful in suggesting whether there is a likelihood of finding any significant statistical relation between the two characteristics, and what type of function it is worth trying to fit. It also draws attention to any outlying observations which may merit special investigation.
scenario|A set of assumptions on policy choices and the values of *exogenous variables that will be used to determine the future developments of an economy. The assumptions, for example about government tax and spending policies, can be varied to produce alternative scenarios. The construction of alternative scenarios is employed to consider the effects of different policies and the robustness of conclusions to alternative values of exogenous variables.
scenario analysis|A method for the assessment of a risky investment project based on information about possible realizations for some, or all, macroeconomic and project-specific factors that determine the value of the project. A variant of scenario analysis is best-case/worst-case analysis, where each factor is assumed to take the best possible value and the worst possible value; the difference between the values of the project for the two cases is used to gauge its riskiness. More generally, a multiple scenario analysis involves calculations of the value of the project for various combinations of realizations for the factors, sometimes taking into account possible comovements of different factors. The expected value of the project can be calculated if the probabilities of all possible outcomes are known.
Schedule A tax|A former section of the UK income tax, levied on the imputed rent of owner-occupied land and houses. This tax was used before the Second World War; during the war the tax assessments were not revised, which reduced its real yield, and it was subsequently abolished.
score function|The gradient, or the vector of partial derivatives, of the log-likelihood function (the natural logarithm of the *likelihood function) with respect to the parameters of the distribution.
screening|A process implemented by an uninformed party to induce other parties with private information to act so as to reveal it. In equilibrium both the uninformed and the informed are aware of the informational consequences of their actions. In the case where the uninformed party takes the initiative, screening is employed. In the case where the informed takes the initiative to identify himself as a particular type, it is considered to be *signalling. Thus the difference between screening and signalling lies in whether the informed or uninformed party moves first. See also asymmetric information.
scrip issue|See bonus issue.
search|In economics, a model of the optimal decision-making of an agent facing a choice of options with random pay-offs when delay is costly. In this setting an agent is confronted with a trade-off between the cost of delaying the choice and a potential opportunity of a better option arriving in the future. The most common applications of search theory include *job search in labour economics and product search in *consumer theory. See also reservation wage.
search unemployment|Unemployment which occurs while an unemployed worker searches the job market for an acceptable job offer. In some occupations workers may leave one job voluntarily because search for another is more efficiently conducted while not working. In many professional occupations this does not happen, because being unemployed is itself a handicap in attracting offers: workers who want better jobs can search more efficiently while employed. If they lose their jobs involuntarily, however, search unemployment occurs when they do not simply apply for any job and accept any offer. Unemployed workers seeking jobs have *reservation wages, that is, minimum acceptable pay offers, and cut-offs for the type of work they are willing to perform. If they do not receive acceptable job offers, their reservation wage and minimum job specifications change, probably falling as lack of income reduces their liquidity and failure to find acceptable jobs depresses their expectations about the distribution of potential offers.
seasonal adjustment|Adjustment to correct for seasonal patterns in *time-series data performed by estimating and removing seasonal effects in economic activity that exist due to natural factors such as weather, administrative measures such as school year dates, and social or religious traditions such as Christmas and other fixed holidays.
seasonal component|A component of time series describing the periodic changes in a variable within a year that are due to natural factors, such as weather, or administrative measures, as well as social customs such as fixed holidays. See also calendar effects; seasonal adjustment.
seasonal unemployment|Unemployment due to seasonal variations in the demand for labour. Some occupations have large seasonal variations, for example agriculture and tourism. How far this leads to seasonal variations in aggregate unemployment depends on how far such variations are mutually offsetting.
secondary market|The market for resale of shares. This is distinct from the market for new issues: the vast majority of dealings in shares is in secondary markets. The existence of a liquid secondary market for shares is an important factor in making them saleable as new issues. If people intending to buy newly issued shares knew they could not sell them readily, but had to retain them permanently, they would be much more reluctant to risk buying them in the first place.
second-best|A situation in which a policy-maker is subject to one or more constraints in addition to those relating to technology and endowments. When a policy-maker is constrained only by technology and endowments a *first-best outcome can be achieved which satisfies the full set of efficiency conditions for the economy. If there are additional constraints, such as *asymmetric information or unavoidable *monopoly power, the situation is one of second-best. The Lipsey–Lancaster theory of second-best shows how to choose policies optimally in these circumstances. The key result of the theory is that if there is even only one efficiency condition that cannot be satisfied it may be optimal to choose an allocation that satisfies none of the efficiency conditions. In other words, if there is a distortion away from efficiency in one market it may be optimal to counter this by offsetting distortions in all other markets. The policy implication is that piecemeal satisfaction of efficiency conditions is not generally an optimal policy.
second-degree price discrimination|A form of *price discrimination in which different units of a product are sold at different prices. A discount for buying in bulk is an example of second-degree price discrimination. Another form of second-degree price discrimination is commodity-bundling. Two products (such as a computer and the operating system) can be sold separately or as a bundle. Selling the bundle for less than the sum of prices of the two products is second-degree price discrimination. The benefit of bundling for the seller is that it may attract additional consumers who would not have purchased the separate products. See also first-degree price discrimination; third-degree price discrimination.
second-order approximation|Approximation of an arbitrary function by its expansion in a Taylor’s series keeping only linear and quadratic terms and assuming that the terms of the higher order are negligible. It is used, for example, in models of individual choice under uncertainty to capture risk aversion, or in welfare models to capture the effect of income distribution. See also linear approximation.
second-price auction|An *auction in which sealed bids are submitted and the item is sold to the highest bidder at the price bid by the second-highest bidder. See also first-price auction.
sector|A part of the economy. Sectors can be delimited in a number of different ways. One way is by the bodies organizing expenditures: thus the economy is divided between the *public sector, that is, the government at various levels and government-controlled bodies; the *corporate sector, which is companies; and the *personal sector, which is individuals, and unincorporated businesses. For national income accounting purposes the rest of the world is sometimes regarded as a sector. Sectors may also be distinguished by the type of product: a *primary sector, that is, agriculture and mining; a secondary, or manufacturing, sector; and a tertiary, or services, sector. See also industrial sector; organized sector; sensitive sectors.
secured loan|A loan where the creditor has a claim on some particular part of the debtor’s assets in the event of default. This is contrasted with an *unsecured loan, where the lender has no right to take over any particular asset if payments are not made when due. In the event of the borrower going bankrupt or becoming insolvent, after the tax authorities secured creditors rank before unsecured creditors for any available assets. Secured loans, such as *mortgages, are thus safer than unsecured loans, and command lower rates of interest.
Securities and Exchange Commission|(SEC) The main government agency responsible for supervising trade in securities and takeovers in the US.
Securities and Investment Board|(SIB) A regulatory body set up to oversee UK financial markets. Its aim was to prevent fraud and *insider dealing. The SIB worked via the system of each financial sector, for example the stock exchange, having a self-regulating organization which reported to the SIB. The SIB was empowered to recognize investment institutions, and to finance itself by fees charged for recognition. In 1997 the functions of the SIB were transferred to the *Financial Services Authority. See also self-regulation.
securities market|See stock exchange.
securitization|The packaging of several non-marketable assets, such as mortgage loans, into bundles which are marketable. Individual mortgages are not generally marketable because there is too much *idiosyncratic risk in dealing with any one of them. A package of several similar mortgages reduces the riskiness, which allows the package to be marketed. The fact that mortgages are made marketable may enable them to be financed at lower interest rates.
security|A financial asset described by a contract that sets out the terms and conditions under which payments will be made. Securities include government debt, both long- and short-term, company shares, and company debt. Securities may be registered, where legal ownership depends on the entry in a register, usually run by a bank, and the paper is merely evidence of ownership; or may be in bearer form, where ownership is conferred by possession of the document. See also bearer bond; blue chip; collateral; fixed-interest security; gilt-edged security; irredeemable security; long-dated security; marketable security; redeemable security; short-dated security; undated security.
security of tenure|The right of some tenants renting or leasing houses, flats, or business premises to continue as tenants, so long as they pay the agreed rent and abide by the conditions of tenancy. Security of tenure is clearly beneficial to existing tenants, as it protects them against the trouble and expense of moving if they do not want to, and the danger that they might not be able to find anywhere else to rent. Security of tenure may, however, discourage investment in property, and make the owners of existing property reluctant to let it; this harms those who are not currently tenants but would like to rent housing or business premises.
segmented market|A market where there is restricted contact between different customers, or different suppliers. If different customers either do not know what prices others are paying, or are unable to resell goods and services to them, it is possible to discriminate in the prices charged or level of service offered to different parts of the market. Similarly, if different suppliers are isolated from each other, it is possible to buy at discriminatory prices. The same applies in labour markets: if minority groups are segregated by social or language differences, for example, employers can pay separate groups different wages for similar work; in many countries such practice is illegal under anti-discrimination legislation.
seigniorage|The profits made by a ruler from issuing money, or ‘inflation tax’. Originally this referred to the profits from the issue of coinage with a face value greater than its cost of production. Nowadays seigniorage refers to the ability of governments to obtain goods and services in return for newly created money. A growing economy needs some extra money, but if governments issue too much this produces inflation, which reduces the real *purchasing power of the money they have already issued.
self-assessment|(tax) The system of tax assessment where the taxpayer reports all items of income and all allowances due, and works out how much tax is payable. The tax authorities then check this calculation. The alternative is the system where the taxpayer reports income and claims allowances, but the calculations leading to the tax assessment are made by the authorities. The disadvantage of self-assessment is that it demands both knowledge of the tax system and arithmetic competence: this is realistic for companies whose *tax returns are prepared by professional accountants, but less so for small businesses and individuals, who are amateurs where the tax authorities are professionals.
self-correcting system|A system where deviations from any initial position lead to reactions which tend to return the system to equilibrium. A self-correcting, or self-stabilizing, economic system will return to equilibrium without any assistance from the monetary or fiscal authorities. It may still be possible for the authorities to speed up the return to equilibrium by policy measures.
self-employment|Work carried out as a business, rather than as an employee. The self-employed are responsible for their own tax, social security contributions, and insurance, whereas those employed by others can leave these matters to their employer. The self-employed are also responsible for their own health and safety. Income from self-employment is a mixture of rewards for work, returns on private capital employed, and rewards for entrepreneurship.
self-financing|Financing a business without recourse to borrowing or share issues. A business can only be started on a self-financing basis by those with some initial capital. The business can then expand only by the *plough-back of retained profits. The advantage of self-financing is that it combines safety with control: a self-financed business can be run without any regard for the opinions of creditors or shareholders. The main disadvantage is that an entrepreneur’s initial capital and profits may not be large enough to allow full advantage to be taken of possible *economies of scale.
self-fulfilling expectations|*Expectations which induce people to take actions which bring about the situation that is expected. This is the case, for example, with expectations about the future prices of assets and durable goods. If prices are expected to rise, this gives an incentive to bring forward purchases and to postpone sales, which tends to produce excess demand and leads to price increases. If prices are expected to fall, this gives an incentive to bring forward sales and postpone purchases, which leads to excess supply and price cuts. Thus, in the short run prices in speculative markets are dominated by expectations. If a shortage of a good is anticipated, this gives an incentive to lay in stocks while they are available, so that rumours of a shortage tend to produce one. Self-fulfilling expectations are contrasted with self-frustrating expectations: for example, producers who expect a high price increase output, which tends to drive the price down, and producers who expect a low price cut output, which tends to drive the price up.
self-regulation|A system where the approach of government to regulating a sector of the economy is to set out general objectives, but entrust the task of devising and enforcing detailed rules to a body representing those engaged in the sector. The merit claimed for this is that people within the sector are better able than outsiders to diagnose problems and devise realistic methods of control. The limitation of self-regulation is that it will operate too much for the protection of established firms in the sector, and too little in the interests of consumer protection or opportunities for innovators and new entrants to an industry.
seller concentration|The number of sellers in a market and their market shares. See also N-firm concentration ratio.
seller’s market|An informal term referring to a market in which conditions are much better for sellers than for buyers. If sellers are scarce and are in no hurry to dispose of their assets, while buyers are numerous and are under strong pressure to satisfy their requirements quickly, it is likely that the current trading price will be high relative to the average price in the past, and that conditions of sale will be favourable for sellers.
selling costs|Costs incurred in the process of selling products. This covers items such as the cost of advertisements on hoardings or in the media, exhibiting at trade fairs, or employment of representatives or door-to-door salespeople. It does not normally cover the costs of design and quality control, though these may be more important than selling costs in making products marketable.
sensitive sectors|Sectors of an economy which are particularly concerned about loss of markets and jobs through competition from imports. This applies particularly to sectors where *less developed countries have a comparative advantage. Agriculture, textiles and clothing, iron and steel, and basic chemicals fall in this category. Sensitive sectors in advanced economies have lobbied, usually successfully, for exemption from general *trade liberalization measures.
sensitivity analysis|1. A method for the assessment of the robustness of predictions of a model to variations in the model assumptions. An example of sensitivity analysis in econometrics is the investigation of the robustness of the significance and of the predicted theoretical sign of the relationship between the dependent variable and each explanatory variable against variations in the set of explanatory variables.
separable utility function|A utility function is separable if it can be written in the form
separating equilibrium|An equilibrium in which agents with different characteristics choose different actions. For example, in an insurance market high-risk agents and low-risk agents will choose different insurance contracts in a separating equilibrium. See also pooling equilibrium.
separation of ownership and control|See control (of a company).
sequestration|1. A UK procedure by which assets can be temporarily frozen by court order.
serial correlation|Same as *autocorrelation.
service contract|A *contract for the provision of services. These may be routine services, such as inspection, regular maintenance, or cleaning, or emergency services such as repair after breakdowns, or provision of temporary staff to cover absence of permanent employees. Service contracts are useful where firms require services involving specialized labour, management skills, or equipment, but do not need them regularly enough to make it economic to provide them in-house.
service flows|The services rendered by *consumer durables. These count as consumption when they are bought, but items such as furniture, refrigerators, cars, or boats give services over years and often decades. Only in the case of housing do *national income accounts follow the procedure of treating their purchase as investment when it occurs and the flow of services as *imputed income in later years. This means that when individual or national consumption expenditure falls during depressions or in wartime, the figures exaggerate the immediate fall in utility, which builds up gradually as stocks of consumer durables wear out. Similarly, the real standard of living does not rise as fast as consumption spending during a recovery.
service industry|The parts of the economy providing services. These may be to individual consumers, for example medical treatment or entertainment, or to businesses, for example architectural, cleaning, computing, engineering, or legal work. In some cases, such as restaurants, a combination of goods and services is provided. Service industries are collectively referred to as the tertiary sector, and are an increasing part of total activity in advanced economies. See also new economy.
service life|The period of time during which a product or an asset remains in use.
services|Economic goods which do not take a tangible and storable form. In some cases these require the physical presence of the customer, as for example with hairdressing, medical treatment, or live entertainment. In other cases services can be performed at a distance: for example, legal representation or insurance.
set-aside|Removal of land from agricultural production. Farmers may be either compelled or paid to set aside part of their land. Set-aside is part of agricultural policy, in particular the *Common Agricultural Policy of the European Union. Set-aside land may be allowed to lie fallow, or may be diverted to forestry, or, subject to *planning permission, to amenity or residential use.
settlement|The act of completing the trade required in a *contract to pay for or deliver goods, securities, or currency. Because of the documentation involved, and postal and clerical delays, many bargains are not carried out immediately, but some time is allowed. This may take the form of having a set date for completion of all contracts made during a given period, or of ‘rolling settlement’, where each bargain is allowed a number of days for settlement. Prompt and reliable settlement is a major attraction of goods and securities markets. Failure to settle by a major financial institution could trigger a chain reaction of failures among other firms; one of the major reasons for financial *regulation is to prevent this from happening.
settlement risk|The risk that other parties may fail to fulfil their side of bargains. Delay in settlement may merely cause inconvenience, but complete failure to settle could cause severe losses. To reduce *counter-party risk many commodity and stock exchanges act as counter-parties for the actual traders, making payments to sellers and collecting payment from buyers.
shadow bank|A financial intermediary that provides credit-facilitating services like a commercial bank but is not registered as such and hence is outside the financial regulation system. Examples are *hedge funds, peer-to-peer websites, and pawnshops.
shadow economy|See hidden economy.
shadow prices|Prices of goods, services, and resources that are proportional to true *opportunity costs for the economy, taking account of any *externalities. If individuals and firms all made choices to maximize their pay-offs subject to a set of prices proportional to the shadow prices for the economy, the resulting equilibrium would be *Pareto efficient. In a competitive economy with no market failure, market prices and shadow prices would be equivalent. In an economy with *market failure, such as *monopoly, legal price regulation and externalities, actual and shadow prices do not coincide. The *Lagrange multipliers appearing in constrained optimization problems can be interpreted as shadow prices. See also Pareto efficiency.
shake-out|The process of removing resources from some sector of the economy. This may occur within firms, or in industries by a reduction in the number of firms. Shake-out is liable to be set off by bad times: cuts in demand induce firms to reduce both their capacity and their labour force, and cuts in profits induce firms to make more effort to remove organizational *slack and may compel them to leave an industry.
Shanghai Stock Exchange|A stock exchange founded in 1990 and based in Shanghai. It provides a market for trade in equities, bonds, funds, and derivatives. In February 2016 the total market capitalization of A-share companies listed on the Shanghai Stock Exchange was US$3.5 trillion.
Shapley value|A process for determining a fair allocation in a cooperative game. The Shapley value is computed by first determining what each player adds to every possible coalition they may potentially join. The player is viewed as adding the difference between the pay-off to the coalition with the additional player and the pay-off to the coalition without. Second, the weighted sum of these pay-offs is computed with the weights being the probability that each coalition may form. The weighted sum is the Shapley value.
share|A part of the ownership of a *company. Shares may be held by individuals or other companies. Company law requires companies to treat all shareholders of any given type alike as regards dividends, or division of the assets on liquidation. *Ordinary shares normally carry voting rights, though it is possible to have some non-voting shares. In some countries there may be limits on the total votes cast by any one shareholder. *Preference shares rank before ordinary shares for dividends, but have no vote, and *debentures rank before preference and ordinary shares for dividends. Debentures carry fixed interest, but the holders have the right to take over control of a company if these are not paid. A share register is an official list of the names and addresses of shareholders; a share certificate is a document proving ownership. In some countries, but not the UK, companies can have bearer shares, where there is no central share register, and the holder of share certificates is deemed to own the shares. See also A-share; deferred share; non-voting share; voting share.
share buybacks|The practice of companies returning capital to their shareholders by buying in some of their own shares. Buybacks benefit shareholders by reducing their income tax bills. Share buybacks tend to raise the price of the remaining shares whereas distribution of the same amount in dividends tends to reduce it. This may benefit directors and other employees holding share options as part of their remuneration. The theoretical motivation for a buyback is that the deductibility of interest payments from profit before tax leads to a preference for debt finance over equity finance. It may be profitable for a firm to reduce its outstanding equity and finance new investment by borrowing.
share capital|The authorized or nominal value of a company’s shares as established in the memorandum of association. When a company becomes public the memorandum of association states the number of shares it can issue and the nominal price of each share. The issued share capital is that part of the share capital that the firm has sold to the market.
sharecropper|A tenant who pays rent fixed as a share of crops produced rather than an agreed amount of money. This system is relatively common in backward regions and *less developed countries. Sharecropping has the effect of sharing risk between landlord and tenant, but discourages tenants from investing in irrigation and other permanent improvements.
shareholder|A person or company holding shares in a company. The ultimate say over control of a company lies with its equity shareholders, who can change the management either by using their votes at company meetings, or by accepting a *takeover bid. A majority shareholder is one who holds a majority of voting shares; a minority shareholder holds fewer than half the shares. See also institutional shareholder; majority shareholder; minority shareholder.
share option|An option to buy shares at a pre-arranged price, granted as an incentive to company directors or employees. Share options will only be exercised if the option price is below the market price at the time. They are offered as incentives: the better a company performs the higher its share price will be, and the more holders of share options gain from exercising them.
share price|The price at which a share can be traded. This is not any single amount: even for widely traded shares the offer price at which market-makers are willing to sell shares is higher than the bid price at which they are willing to buy. The average of these, the *mid-market price, is frequently quoted in the financial press. In the case of shares which are little traded, the reported price may simply be the last one at which any transactions were reported, and may give little guidance on the terms on which they can now be traded.
share price index|An index of the prices of shares of some specific type. Share price indexes are published in all countries with stock exchanges. They vary in the range of industries they cover, and the number of companies whose shares are included. For US shares see the *Dow Jones index; for the UK see the *Financial Times Stock Exchange indexes; for Japan see the *Nikkei index; for Hong Kong, the *Hang Seng index.
share register|The register kept by a limited company recording the names and addresses of shareholders, and the type and number of shares held. Entry in the register is proof of ownership: shareholders whose share certificates are lost or destroyed can obtain replacements on production of proof of identity.
shark repellent|Contracts entered into to make a company unattractive to potential takeover bidders. Contracts may be made with directors, for example, entitling them to large payments on loss of office, or giving them options to buy critical parts of company assets, or the company’s shares, at low prices.
shell company|A company which does not trade, but has a legal existence, and possibly some non-trading assets. These may include a credit rating, and the right to carry forward losses for tax purposes. For anybody who needs a company to trade through, acquiring a shell company may be cheaper and quicker than registering a new company.
sheltered monopoly|A monopoly protected from competition in some way. This could include legal restrictions on entry by competitors, or tariffs and *non-tariff barriers restricting foreign competition.
